accx,accy,accz
3.791152322048817,-9.329793249891026,1.6227571902588214
3.791152322048817,-9.329285035856278,1.6469692337893023
3.7913655237315322,-9.304382548153662,1.6958335398235456
3.7672737335846693,-9.267028816599733,1.732481769349228
3.780279036230321,-9.194481263139556,1.770230546308114
3.793284338875973,-9.122441923714126,1.7838773344798395
3.8061830406802666,-9.062853828140005,1.7729819148911232
3.83123423839935,-9.014827601856384,1.7984045605981283
3.8927429238628006,-8.979506726441446,1.8362633923003346
3.9298400166553153,-8.956764148386505,1.8129317867164167
3.9787698028385456,-8.959051111542868,1.7530620063501368
4.015440492265629,-8.973026997498419,1.6928620617538956
4.051791379168639,-9.010634836069718,1.6563238869715335
4.075883169315502,-9.047226246571524,1.6559937227415724
4.124493152974659,-9.083944710582017,1.6803158210153737
4.1728899349511,-9.132479150900386,1.7164137768244543
4.233119410318258,-9.216588573651064,1.7882795242126543
4.293029083161342,-9.323694681474059,1.9203452161970955
4.315841663211911,-9.464724076116436,2.111730414831215
4.32607534398226,-9.630783011970118,2.2420352309225304
4.287485839410736,-9.796969001332487,2.2990435879624807
4.20007314949734,-9.951084907369607,2.3070775842248676
4.088035665230291,-10.117143843223289,2.2904593179834922
3.9767443868527472,-10.210909332634166,2.275161708661961
3.878032007755424,-10.281805190481416,2.2240963077613105
3.8044774272185418,-10.291842417667675,2.234991727350027
3.7184505482427967,-10.313949728179182,2.233340906200221
3.682099661339787,-10.276595996625256,2.2576630044740225
3.645642173595419,-10.251058241379203,2.293981069769744
3.6219767868139874,-10.178637741427712,2.2828655406943867
3.597991597508482,-10.129976247600657,2.2834158144109886
3.610783698471418,-10.08220412833441,2.284406307100872
3.575072416616555,-9.984499980154242,2.321934974573117
3.6004434168597115,-9.900009396877502,2.3722299922705252
3.601296223590574,-9.814756492548643,2.4343008675032127
3.6021490303214363,-9.729630641728468,2.4842657209706593
3.615687337173877,-9.608802754967297,2.535000957641349
3.6532108333318227,-9.536382255015805,2.5974019971039977
3.6540636400626854,-9.451383457704319,2.6473668505714443
3.691800337903347,-9.354949844611017,2.710098054264054
3.7171713381465032,-9.270459261334278,2.760393071961462
3.7425423383896597,-9.185841624548852,2.81068808965887
3.7800658345476057,-9.113294071088674,2.8850850961434387
3.792538132986468,-9.088772743912116,2.9220634898990823
3.8292088224135514,-9.08864569040343,2.9709277959333256
3.853620415084488,-9.088391583386056,3.019682047224248
3.8656663101579194,-9.112150589510494,3.0436739812680886
3.926641991414581,-9.124982993887862,3.080652375023732
3.9508403824028018,-9.148996107029673,3.1047543638108923
3.987511071829885,-9.161701457898355,3.1170804950627735
4.023755357891537,-9.198165814891475,3.141182483849934
4.0477405471970425,-9.246954362227216,3.1285261883680917
4.071725736502548,-9.29561585605427,3.1279759146514903
4.119802715954916,-9.381504027926564,3.090777411409206
4.191545082188715,-9.540320913785097,3.0404823937117977
4.213824658032496,-9.745766437331696,3.012968707881706
4.22331213291334,-9.9993652406706,2.960142431087929
4.2693636963799095,-10.277104210660003,2.943634219589874
4.266059070297818,-10.577839865721721,2.9261355154019357
4.2746937384478,-10.902842740942623,2.908306646984036
4.234611822097267,-11.202053753900097,2.926465679631897
4.218621695893597,-11.549799207175942,2.944184493306476
4.190372472933779,-11.885093416600476,2.974119383489616
4.113086862949374,-12.231441281280764,2.990957759217632
4.0236487570501795,-12.566481383687925,2.959482102628007
3.8980729659306905,-12.851970617707224,2.964764730307385
3.7241003928347602,-13.07672827457422,2.946165478686243
3.514842941249398,-13.18078509818873,2.9050050046844254
3.294072598797393,-13.211786154308315,2.901373198154853
3.049743470405314,-13.15956716223803,2.8263158632103624
2.8429378381711814,-13.036071151794435,2.7530194041589975
2.6733358995709207,-12.877254265935903,2.6808234925408363
2.4794289691410816,-12.693916052900812,2.608847690409316
2.322086127296968,-12.535861488094401,2.5126598447473145
2.164423482928781,-12.401947089938485,2.4160317801120317
2.030959229548815,-12.292808125976501,2.307187638968188
1.9222263713638585,-12.171853185706643,2.211109848049507
1.8255394082523335,-12.06309538227072,2.126917969409426
1.7784218363721855,-11.895130643786736,2.056703043171031
1.743563361248185,-11.727165905302751,1.9987041934411973
1.745588777233983,-11.548528672089073,1.9172636833841252
1.7715993825252865,-11.417536504632956,1.883696986671413
1.8099756854140945,-11.274601307360276,1.8625664759539025
1.8478189840961137,-11.180454657423338,1.8042374619941077
1.8729767826565547,-11.12226415044477,1.7330320430658297
1.8856622827781329,-11.086943275029833,1.7097004374819118
1.9466379640347948,-11.112099869749825,1.7221366234771134
1.9832020526205203,-11.124551113601134,1.7466788312375554
2.092787717536339,-11.174610196023744,1.7715512032279586
2.214206075842874,-11.273330772273408,1.7835471702498786
2.359716224296272,-11.395937408156195,1.8317511478241997
2.4686622841639436,-11.518162883512922,1.8553028628947583
2.5772885415075426,-11.652077281668836,1.902846512009157
2.6370916135092686,-11.784721144737883,1.9497298326636336
2.708940580584426,-11.930070358675612,1.9722910550443091
2.7200270680856375,-12.038319948076788,1.9826362009164236
2.74315945066028,-12.15952899536402,1.9565532267494965
2.7663984340762804,-12.281246256686,1.9062582090520885
2.7408142321504085,-12.377679869779302,1.8557430818680398
